kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,specificEpithet,scientificNameAuthorship,scientificNameAuthorshipYear,scientificName,continent,country,habitat,locality,county,decimalLatitude,decimalLongitude,eventTemperature,eventRelHum,eventAltitude,sampleStrata,day,month,year,materialSampleID,samplingLocationID,samplingProtocol,sampleSizeValue,samplingEffort,timePerSample,beeAttractScent,beeBodyWeight,beeCropPol,beeITDist,beeMaxComDist,beeMaxHomDist,beeMaxForDist,beeNesting,beeNestLoc,beeNestType,beeSociality,beeTipHomDist,beeWingLoad,beekeepSp,categoryThreatMMA,categoryThreatIUCN,beekeepRef
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Ericrocidini,Acanthopus,,,palmatus,Olivier,1789,Acanthopus palmatus Olivier 1789,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.409092,,,705,understory,20,8,2022,CN-1667,CN01,Honey_trap,,,,,122.4200568,no,5.1,9.54345546,10.4395364,7.526790313,cavity,cleptoparasitic,,Cleptoparasitic,4.476540427,3.4187,no,NE,NE,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Meliponini,Aparatrigona,,,impunctata,Ducke,1916,Aparatrigona impunctata Ducke 1916,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-42,CN09,Active_net_collecting,,,,,10.84350774,yes,1.55,0.344861549,0.189520632,0.478891598,termite,renter,,Social,0.094200968,1.0473,no,NE,NE,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Meliponini,Aparatrigona,,,impunctata,Ducke,1916,Aparatrigona impunctata Ducke 1916,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-43,CN09,Active_net_collecting,,,,,11.42058621,yes,1.6,0.376778846,0.210895766,0.515382324,termite,renter,,Social,0.104413579,1.0807,no,NE,NE,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Meliponini,Aparatrigona,,,impunctata,Ducke,1916,Aparatrigona impunctata Ducke 1916,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-80,CN09,Active_net_collecting,,,,,12.24574935,yes,1.65,0.410530319,0.233911167,0.55340154,termite,renter,,Social,0.115367358,1.1141,no,NE,NE,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Meliponini,Aparatrigona,,,impunctata,Ducke,1916,Aparatrigona impunctata Ducke 1916,South America,Brazil,Forest associated with ferruginous mountains,Carajás,Parauapebas,-6.186415,-50.129326,,,703,understory,14,5,2022,CN-1203,CN14,Active_net_collecting,,,,,10.09014996,yes,1.5,0.314733108,0.169716153,0.443914246,termite,renter,,Social,0.084700868,1.0139,no,NE,NE,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,31,3,2022,CN-737,CN02,Honey_trap,,,,,37.42049549,yes,2.85,1.884115271,1.472338942,1.959098,cavity,renter,,Social,0.678589345,1.9157,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1672,CN02,Honey_trap,,,,,36.03557444,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1673,CN02,Honey_trap,,,,,35.84099998,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1674,CN02,Honey_trap,,,,,36.13017267,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1675,CN02,Honey_trap,,,,,36.05470152,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1812,CN02,Honey_trap,,,,,29.43268748,yes,2.55,1.381764476,1.012544799,1.514702832,cavity,renter,,Social,0.473154816,1.7153,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.377923,,,680,understory,17,8,2022,CN-1813,CN02,Honey_trap,,,,,29.48929372,yes,2.55,1.381764476,1.012544799,1.514702832,cavity,renter,,Social,0.473154816,1.7153,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.148752,-50.42119,,,692,understory,11,5,2022,CN-1574,CN03,Active_net_collecting,,,,,35.73840157,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.148752,-50.42119,,,692,understory,17,8,2022,CN-1801,CN03,Honey_trap,,,,,35.70906261,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.439977,,,662,understory,15,5,2022,CN-1602,CN04,Active_net_collecting,,,,,35.87271512,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.439977,,,662,understory,15,5,2022,CN-1603,CN04,Active_net_collecting,,,,,36.18723265,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.439977,,,662,understory,20,8,2022,CN-1694,CN04,Active_net_collecting,,,,,36.22594,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.439977,,,662,understory,27,3,2022,CN-372,CN04,Honey_trap,,,,,36.09123035,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.439977,,,662,understory,15,5,2022,CN-1598,CN04,Honey_trap,,,,,36.17210351,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.171656,-50.352591,,,412,understory,30,3,2022,CN-194,CN06,Active_net_collecting,,,,,33.3847785,yes,2.7,1.6204744,1.227355661,1.728798538,cavity,renter,,Social,0.569483733,1.8155,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.171656,-50.352591,,,412,understory,18,8,2022,CN-1760,CN06,Honey_trap,,,,,36.20616116,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.171656,-50.352591,,,412,understory,18,8,2022,CN-1765,CN06,Honey_trap,,,,,35.86127838,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.171656,-50.352591,,,412,understory,18,8,2022,CN-1766,CN06,Honey_trap,,,,,36.19391826,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.171656,-50.352591,,,412,understory,18,8,2022,CN-1767,CN06,Honey_trap,,,,,35.67016968,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,19,5,2022,CN-1426,CN07,Honey_trap,,,,,33.72955133,yes,2.7,1.6204744,1.227355661,1.728798538,cavity,renter,,Social,0.569483733,1.8155,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,19,5,2022,CN-1458,CN07,Honey_trap,,,,,28.4341611,yes,2.5,1.307545301,0.947253174,1.446889084,cavity,renter,,Social,0.443732775,1.6819,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,19,5,2022,CN-1459,CN07,Honey_trap,,,,,41.58481448,yes,3,2.173772339,1.749806975,2.205877862,cavity,renter,,Social,0.80135898,2.0159,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,18,8,2022,CN-1726,CN07,Honey_trap,,,,,35.91500514,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,18,8,2022,CN-1727,CN07,Honey_trap,,,,,36.21802977,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,18,8,2022,CN-1742,CN07,Honey_trap,,,,,36.33908106,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.20235,-50.343878,,,603,understory,18,8,2022,CN-1743,CN07,Honey_trap,,,,,35.81973315,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,1,4,2022,CN-604,CN08,Honey_trap,,,,,38.75092203,yes,2.9,1.977723701,1.561103369,2.039513429,cavity,renter,,Social,0.717950181,1.9491,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,1,4,2022,CN-605,CN08,Honey_trap,,,,,38.47516879,yes,2.9,1.977723701,1.561103369,2.039513429,cavity,renter,,Social,0.717950181,1.9491,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,1,4,2022,CN-606,CN08,Honey_trap,,,,,37.61510625,yes,2.85,1.884115271,1.472338942,1.959098,cavity,renter,,Social,0.678589345,1.9157,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,19,5,2022,CN-1218,CN08,Honey_trap,,,,,36.12011571,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,18,8,2022,CN-1825,CN08,Honey_trap,,,,,30.98251448,yes,2.6,1.458631856,1.080936767,1.584285159,cavity,renter,,Social,0.503899113,1.7487,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,,,466,understory,18,8,2022,CN-1826,CN08,Honey_trap,,,,,30.71428095,yes,2.6,1.458631856,1.080936767,1.584285159,cavity,renter,,Social,0.503899113,1.7487,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.215823,-50.317763,24.6,HI,466,understory,1,4,2022,CN-1046,CN08,Scent_trap,,,,,41.17646276,yes,3,2.173772339,1.749806975,2.205877862,cavity,renter,,Social,0.80135898,2.0159,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-76,CN09,Active_net_collecting,,,,,44.63547884,yes,3.1,2.381860939,1.95399506,2.379685683,cavity,renter,,Social,0.89123988,2.0827,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,17,5,2022,CN-1073,CN09,Active_net_collecting,,,,,29.86409552,yes,2.55,1.381764476,1.012544799,1.514702832,cavity,renter,,Social,0.473154816,1.7153,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,17,5,2022,CN-1074,CN09,Active_net_collecting,,,,,44.04129504,yes,3.1,2.381860939,1.95399506,2.379685683,cavity,renter,,Social,0.89123988,2.0827,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-01,CN09,Honey_trap,,,,,35.57068156,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-02,CN09,Honey_trap,,,,,35.95193243,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-03,CN09,Honey_trap,,,,,35.91523359,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,29,3,2022,CN-04,CN09,Honey_trap,,,,,36.02911767,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,17,5,2022,CN-1084,CN09,Honey_trap,,,,,33.51744075,yes,2.7,1.6204744,1.227355661,1.728798538,cavity,renter,,Social,0.569483733,1.8155,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,384,understory,22,8,2022,CN-1682,CN09,Honey_trap,,,,,35.75027561,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.244426,-50.315309,,,466,understory,1,4,2022,CN-1050,CN09,Scent_trap,,,,,35.71914832,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,26,3,2022,CN-188,CN10,Active_net_collecting,,,,,37.26863463,yes,2.85,1.884115271,1.472338942,1.959098,cavity,renter,,Social,0.678589345,1.9157,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,26,3,2022,CN-193,CN10,Active_net_collecting,,,,,41.37580989,yes,3,2.173772339,1.749806975,2.205877862,cavity,renter,,Social,0.80135898,2.0159,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,17,5,2022,CN-1238,CN10,Active_net_collecting,,,,,36.10096628,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,17,5,2022,CN-1249,CN10,Active_net_collecting,,,,,36.09237893,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,17,5,2022,CN-1257,CN10,Active_net_collecting,,,,,35.60438395,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,26,3,2022,CN-165,CN10,Honey_trap,,,,,38.86658429,yes,2.9,1.977723701,1.561103369,2.039513429,cavity,renter,,Social,0.717950181,1.9491,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,26,3,2022,CN-316,CN10,Honey_trap,,,,,35.55214142,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,17,5,2022,CN-1166,CN10,Honey_trap,,,,,35.68617066,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,625,understory,17,5,2022,CN-1230,CN10,Honey_trap,,,,,36.11896829,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.284544,-50.336224,,,466,understory,1,4,2022,CN-1051,CN10,Scent_trap,,,,,33.42635391,yes,2.7,1.6204744,1.227355661,1.728798538,cavity,renter,,Social,0.569483733,1.8155,yes,NE,NE,PUBLIC DOMAIN
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,Apini,Apis,,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,South America,Brazil,Forest associated with ferruginous mountains,Carajás,Parauapebas,-6.184134,-50.142686,,,710,understory,4,4,2022,CN-433,CN13,Active_net_collecting,,,,,35.94006574,yes,2.8,1.79339763,1.387183561,1.880513807,cavity,renter,,Social,0.64074664,1.8823,yes,NE,NE,PUBLIC DOMAIN
